"Country","Commodity","Item","Unit","Year","Amount","Anomaly","kg_food_per_person","Amount_Category","new_numerical"
"Algeria","Root Crops (R&T)","FAO Conversion Rate for Root Crops from MT to Grain Equiv. MT","Conversion Rate",2003,0.253492434,0.66,226.644314229311,"Medium-Low",1.32
"Algeria","Root Crops (R&T)","Area Harvested","1000 Ha",2003,88.66,0.66,226.644314229311,"High",1.32
"Algeria","Root Crops (R&T)","Yield","MT / Ha",2003,5.374971689,0.66,226.644314229311,"High",1.32
"Algeria","Root Crops (R&T)","Production Quantity","Grain Equiv. 1000 MT",2003,476.5449899,0.66,226.644314229311,"High",1.32
"Algeria","Root Crops (R&T)","Import Quantity","Grain Equiv. 1000 MT",2003,28.02282812,0.66,226.644314229311,"High",1.32
"Algeria","Root Crops (R&T)","Export Quantity","Grain Equiv. 1000 MT",2003,0.276053261,0.66,226.644314229311,"Medium-Low",1.32
"Algeria","Root Crops (R&T)","Stock Variation","Grain Equiv. 1000 MT",2003,0,0.66,226.644314229311,"Low",1.32
"Algeria","Root Crops (R&T)","Feed + Seed","Grain Equiv. 1000 MT",2003,25.26409024,0.66,226.644314229311,"High",1.32
"Algeria","Root Crops (R&T)","Waste + Processed + OtherUtilization - Stock Variation","Grain Equiv. 1000 MT",2003,51.05033434,0.66,226.644314229311,"High",1.32
"Algeria","Root Crops (R&T)","Food Availability","Grain Equiv. 1000 MT",2003,427.9905421,0.66,226.644314229311,"High",1.32
"Algeria","Root Crops (R&T)","Food Availability per capita","kg/cap/yr",2003,13.41116605,0.66,226.644314229311,"High",1.32
"Algeria","Total Grains/Cereals and Root Crops (R&T)","Production Quantity","Grain Equiv. 1000 MT",2003,4746.24499,0.66,226.644314229311,"High",1.32
"Algeria","Total Grains/Cereals and Root Crops (R&T)","Food Availability per capita","kg/cap/yr",2003,240.0554803,0.66,226.644314229311,"High",1.32
"Algeria","Total Grains/Cereals and Root Crops (R&T)","Food Supply","Grain Equiv. 1000 MT",2003,10479.46782,0.66,226.644314229311,"High",1.32
"Algeria","Total Grains/Cereals and Root Crops (R&T)","Area Harvested","1000 Ha",2003,2990.222,0.66,226.644314229311,"High",1.32
"Algeria","Other","Food Supply","Grain Equiv. 1000 MT / yr",2003,2510.690704,0.66,226.644314229311,"High",1.32
"Algeria","Other","Food Supply","Grain Equiv. kg/cap/yr",2003,397.9052711,0.66,226.644314229311,"High",1.32
"Algeria","Total Grains/Cereals","Area Harvested","1000 Ha",2004,3000.6,0.52,227.580565501914,"High",1.04
"Algeria","Total Grains/Cereals","Yield","MT / Ha",2004,1.333633273,0.52,227.580565501914,"High",1.04
"Algeria","Total Grains/Cereals","Production Quantity","1000 MT",2004,4001.7,0.52,227.580565501914,"High",1.04
"Algeria","Total Grains/Cereals","Import Quantity","1000 MT",2004,7194,0.52,227.580565501914,"High",1.04
"Algeria","Total Grains/Cereals","Import Value","Million US$",2004,1381.79,0.52,227.580565501914,"High",1.04
"Algeria","Total Grains/Cereals","Import Unit Value","US$ / MT",2004,192.0753406,0.52,227.580565501914,"High",1.04
"Algeria","Total Grains/Cereals","Export Quantity","1000 MT",2004,0,0.52,227.580565501914,"Low",1.04
"Algeria","Total Grains/Cereals","Stock Variation","1000 MT",2004,-1006,0.52,227.580565501914,"Low",1.04
"Algeria","Total Grains/Cereals","Feed + Seed","1000 MT",2004,2474,0.52,227.580565501914,"High",1.04
"Algeria","Total Grains/Cereals","Waste + Processed + OtherUtilization","1000 MT",2004,643,0.52,227.580565501914,"High",1.04
"Algeria","Total Grains/Cereals","Food Availability","1000 MT",2004,7372.7,0.52,227.580565501914,"High",1.04
"Algeria","Total Grains/Cereals","Food Availability per capita","kg/cap/yr",2004,227.5805655,0.52,227.580565501914,"High",1.04
"Algeria","Food Aid","Cereal Food Aid","Grain Equiv. 1000 MT",2004,34.01164609,0.52,227.580565501914,"High",1.04
"Algeria","Food Aid","Total","Grain Equiv. 1000 MT",2004,45.34978239,0.52,227.580565501914,"High",1.04
"Algeria","Food Aid","Non-Cereal Food Aid","Grain Equiv. 1000 MT",2004,11.3381363,0.52,227.580565501914,"High",1.04
"Algeria","Population","Total Population - Both Sexes","Million",2004,32.396,0.52,227.580565501914,"High",1.04
"Algeria","Root Crops (R&T)","FAO Conversion Rate for Root Crops from MT to Grain Equiv. MT","Conversion Rate",2004,0.252711602,0.52,227.580565501914,"Medium-Low",1.04
"Algeria","Root Crops (R&T)","Area Harvested","1000 Ha",2004,93.144,0.52,227.580565501914,"High",1.04
"Algeria","Root Crops (R&T)","Yield","MT / Ha",2004,5.144823382,0.52,227.580565501914,"High",1.04
"Algeria","Root Crops (R&T)","Production Quantity","Grain Equiv. 1000 MT",2004,479.2094291,0.52,227.580565501914,"High",1.04
"Algeria","Root Crops (R&T)","Import Quantity","Grain Equiv. 1000 MT",2004,29.29104363,0.52,227.580565501914,"High",1.04
"Algeria","Root Crops (R&T)","Export Quantity","Grain Equiv. 1000 MT",2004,0.0685,0.52,227.580565501914,"Medium-Low",1.04
"Algeria","Root Crops (R&T)","Stock Variation","Grain Equiv. 1000 MT",2004,0,0.52,227.580565501914,"Low",1.04
"Algeria","Root Crops (R&T)","Feed + Seed","Grain Equiv. 1000 MT",2004,26.96362032,0.52,227.580565501914,"High",1.04
"Algeria","Root Crops (R&T)","Waste + Processed + OtherUtilization - Stock Variation","Grain Equiv. 1000 MT",2004,51.01539647,0.52,227.580565501914,"High",1.04
"Algeria","Root Crops (R&T)","Food Availability","Grain Equiv. 1000 MT",2004,430.4530216,0.52,227.580565501914,"High",1.04
"Algeria","Root Crops (R&T)","Food Availability per capita","kg/cap/yr",2004,13.28722749,0.52,227.580565501914,"High",1.04
"Algeria","Total Grains/Cereals and Root Crops (R&T)","Production Quantity","Grain Equiv. 1000 MT",2004,4480.909429,0.52,227.580565501914,"High",1.04
"Algeria","Total Grains/Cereals and Root Crops (R&T)","Food Availability per capita","kg/cap/yr",2004,240.867793,0.52,227.580565501914,"High",1.04
"Algeria","Total Grains/Cereals and Root Crops (R&T)","Food Supply","Grain Equiv. 1000 MT",2004,11704.20047,0.52,227.580565501914,"High",1.04
"Algeria","Total Grains/Cereals and Root Crops (R&T)","Area Harvested","1000 Ha",2004,3093.744,0.52,227.580565501914,"High",1.04
"Algeria","Other","Food Supply","Grain Equiv. 1000 MT / yr",2004,2733.674247,0.52,227.580565501914,"High",1.04
"Algeria","Other","Food Supply","Grain Equiv. kg/cap/yr",2004,405.1213184,0.52,227.580565501914,"High",1.04
"Algeria","Total Grains/Cereals","Area Harvested","1000 Ha",2005,2350.515,0.73,229.618705910971,"High",1.46
"Algeria","Total Grains/Cereals","Yield","MT / Ha",2005,1.499969156,0.73,229.618705910971,"High",1.46
"Algeria","Total Grains/Cereals","Production Quantity","1000 MT",2005,3525.7,0.73,229.618705910971,"High",1.46
"Algeria","Total Grains/Cereals","Import Quantity","1000 MT",2005,7343,0.73,229.618705910971,"High",1.46
"Algeria","Total Grains/Cereals","Import Value","Million US$",2005,1423.73,0.73,229.618705910971,"High",1.46
"Algeria","Total Grains/Cereals","Import Unit Value","US$ / MT",2005,193.8894185,0.73,229.618705910971,"High",1.46
"Algeria","Total Grains/Cereals","Export Quantity","1000 MT",2005,0,0.73,229.618705910971,"Low",1.46
"Algeria","Total Grains/Cereals","Stock Variation","1000 MT",2005,-145,0.73,229.618705910971,"Low",1.46
"Algeria","Total Grains/Cereals","Feed + Seed","1000 MT",2005,2839,0.73,229.618705910971,"High",1.46
"Algeria","Total Grains/Cereals","Waste + Processed + OtherUtilization","1000 MT",2005,633,0.73,229.618705910971,"High",1.46
"Algeria","Total Grains/Cereals","Food Availability","1000 MT",2005,7551.7,0.73,229.618705910971,"High",1.46
"Algeria","Total Grains/Cereals","Food Availability per capita","kg/cap/yr",2005,229.6187059,0.73,229.618705910971,"High",1.46
"Algeria","Food Aid","Cereal Food Aid","Grain Equiv. 1000 MT",2005,24.91392657,0.73,229.618705910971,"High",1.46
"Algeria","Food Aid","Total","Grain Equiv. 1000 MT",2005,37.98816944,0.73,229.618705910971,"High",1.46
"Algeria","Food Aid","Non-Cereal Food Aid","Grain Equiv. 1000 MT",2005,13.07424287,0.73,229.618705910971,"High",1.46
"Algeria","Population","Total Population - Both Sexes","Million",2005,32.888,0.73,229.618705910971,"High",1.46
"Algeria","Root Crops (R&T)","FAO Conversion Rate for Root Crops from MT to Grain Equiv. MT","Conversion Rate",2005,0.253373473,0.73,229.618705910971,"Medium-Low",1.46
"Algeria","Root Crops (R&T)","Area Harvested","1000 Ha",2005,99.717,0.73,229.618705910971,"High",1.46
"Algeria","Root Crops (R&T)","Yield","MT / Ha",2005,5.479632997,0.73,229.618705910971,"High",1.46
"Algeria","Root Crops (R&T)","Production Quantity","Grain Equiv. 1000 MT",2005,546.4125635,0.73,229.618705910971,"High",1.46
"Algeria","Root Crops (R&T)","Import Quantity","Grain Equiv. 1000 MT",2005,21.79442604,0.73,229.618705910971,"High",1.46
"Algeria","Root Crops (R&T)","Export Quantity","Grain Equiv. 1000 MT",2005,0.0365,0.73,229.618705910971,"Medium-Low",1.46
"Algeria","Root Crops (R&T)","Stock Variation","Grain Equiv. 1000 MT",2005,0,0.73,229.618705910971,"Low",1.46
"Algeria","Root Crops (R&T)","Feed + Seed","Grain Equiv. 1000 MT",2005,26.79240783,0.73,229.618705910971,"High",1.46
"Algeria","Root Crops (R&T)","Waste + Processed + OtherUtilization - Stock Variation","Grain Equiv. 1000 MT",2005,58.44160508,0.73,229.618705910971,"High",1.46
"Algeria","Root Crops (R&T)","Food Availability","Grain Equiv. 1000 MT",2005,482.9364276,0.73,229.618705910971,"High",1.46
"Algeria","Root Crops (R&T)","Food Availability per capita","kg/cap/yr",2005,14.68427474,0.73,229.618705910971,"High",1.46
"Algeria","Total Grains/Cereals and Root Crops (R&T)","Production Quantity","Grain Equiv. 1000 MT",2005,4072.112564,0.73,229.618705910971,"High",1.46
"Algeria","Total Grains/Cereals and Root Crops (R&T)","Food Availability per capita","kg/cap/yr",2005,244.3029806,0.73,229.618705910971,"High",1.46
"Algeria","Total Grains/Cereals and Root Crops (R&T)","Food Supply","Grain Equiv. 1000 MT",2005,11436.90699,0.73,229.618705910971,"High",1.46
"Algeria","Total Grains/Cereals and Root Crops (R&T)","Area Harvested","1000 Ha",2005,2450.232,0.73,229.618705910971,"High",1.46
"Algeria","Other","Food Supply","Grain Equiv. 1000 MT / yr",2005,2858.818713,0.73,229.618705910971,"High",1.46
"Algeria","Other","Food Supply","Grain Equiv. kg/cap/yr",2005,404.0819046,0.73,229.618705910971,"High",1.46
"Algeria","Total Grains/Cereals","Area Harvested","1000 Ha",2006,2672.157,0.69,231.492573071394,"High",1.38
"Algeria","Total Grains/Cereals","Yield","MT / Ha",2006,1.502044977,0.69,231.492573071394,"High",1.38
"Algeria","Total Grains/Cereals","Production Quantity","1000 MT",2006,4013.7,0.69,231.492573071394,"High",1.38
"Algeria","Total Grains/Cereals","Import Quantity","1000 MT",2006,7137.3,0.69,231.492573071394,"High",1.38
"Algeria","Total Grains/Cereals","Import Value","Million US$",2006,1385.95,0.69,231.492573071394,"High",1.38
"Algeria","Total Grains/Cereals","Import Unit Value","US$ / MT",2006,194.1840752,0.69,231.492573071394,"High",1.38
"Algeria","Total Grains/Cereals","Export Quantity","1000 MT",2006,0,0.69,231.492573071394,"Low",1.38
"Algeria","Total Grains/Cereals","Stock Variation","1000 MT",2006,50,0.69,231.492573071394,"High",1.38
"Algeria","Total Grains/Cereals","Feed + Seed","1000 MT",2006,3138,0.69,231.492573071394,"High",1.38
"Algeria","Total Grains/Cereals","Waste + Processed + OtherUtilization","1000 MT",2006,633,0.69,231.492573071394,"High",1.38
"Algeria","Total Grains/Cereals","Food Availability","1000 MT",2006,7730,0.69,231.492573071394,"High",1.38
"Algeria","Total Grains/Cereals","Food Availability per capita","kg/cap/yr",2006,231.4925731,0.69,231.492573071394,"High",1.38
"Algeria","Food Aid","Cereal Food Aid","Grain Equiv. 1000 MT",2006,18.06874916,0.69,231.492573071394,"High",1.38
"Algeria","Food Aid","Total","Grain Equiv. 1000 MT",2006,24.23037328,0.69,231.492573071394,"High",1.38
"Algeria","Food Aid","Non-Cereal Food Aid","Grain Equiv. 1000 MT",2006,6.161624124,0.69,231.492573071394,"High",1.38
"Algeria","Population","Total Population - Both Sexes","Million",2006,33.392,0.69,231.492573071394,"High",1.38
"Algeria","Root Crops (R&T)","FAO Conversion Rate for Root Crops from MT to Grain Equiv. MT","Conversion Rate",2006,0.252626552,0.69,231.492573071394,"Medium-Low",1.38
"Algeria","Root Crops (R&T)","Area Harvested","1000 Ha",2006,98.825,0.69,231.492573071394,"High",1.38
"Algeria","Root Crops (R&T)","Yield","MT / Ha",2006,5.575195119,0.69,231.492573071394,"High",1.38
"Algeria","Root Crops (R&T)","Production Quantity","Grain Equiv. 1000 MT",2006,550.9686576,0.69,231.492573071394,"High",1.38
"Algeria","Root Crops (R&T)","Import Quantity","Grain Equiv. 1000 MT",2006,30.04664422,0.69,231.492573071394,"High",1.38
"Algeria","Root Crops (R&T)","Export Quantity","Grain Equiv. 1000 MT",2006,0.0404,0.69,231.492573071394,"Medium-Low",1.38
"Algeria","Root Crops (R&T)","Stock Variation","Grain Equiv. 1000 MT",2006,0,0.69,231.492573071394,"Low",1.38
"Algeria","Root Crops (R&T)","Feed + Seed","Grain Equiv. 1000 MT",2006,21.44615767,0.69,231.492573071394,"High",1.38
"Algeria","Root Crops (R&T)","Waste + Processed + OtherUtilization - Stock Variation","Grain Equiv. 1000 MT",2006,59.36926074,0.69,231.492573071394,"High",1.38
"Algeria","Root Crops (R&T)","Food Availability","Grain Equiv. 1000 MT",2006,500.1593949,0.69,231.492573071394,"High",1.38
"Algeria","Root Crops (R&T)","Food Availability per capita","kg/cap/yr",2006,14.97841983,0.69,231.492573071394,"High",1.38
"Algeria","Total Grains/Cereals and Root Crops (R&T)","Production Quantity","Grain Equiv. 1000 MT",2006,4564.668658,0.69,231.492573071394,"High",1.38
"Algeria","Total Grains/Cereals and Root Crops (R&T)","Food Availability per capita","kg/cap/yr",2006,246.4709929,0.69,231.492573071394,"High",1.38
"Algeria","Total Grains/Cereals and Root Crops (R&T)","Food Supply","Grain Equiv. 1000 MT",2006,11732.0153,0.69,231.492573071394,"High",1.38
"Algeria","Total Grains/Cereals and Root Crops (R&T)","Area Harvested","1000 Ha",2006,2770.982,0.69,231.492573071394,"High",1.38
"Algeria","Other","Food Supply","Grain Equiv. 1000 MT / yr",2006,2945.108094,0.69,231.492573071394,"High",1.38
"Algeria","Other","Food Supply","Grain Equiv. kg/cap/yr",2006,414.9851041,0.69,231.492573071394,"High",1.38
"Algeria","Total Grains/Cereals","Area Harvested","1000 Ha",2007,2873.827,0.61,230.445040847023,"High",1.22
"Algeria","Total Grains/Cereals","Yield","MT / Ha",2007,1.227874886,0.61,230.445040847023,"High",1.22
"Algeria","Total Grains/Cereals","Production Quantity","1000 MT",2007,3528.7,0.61,230.445040847023,"High",1.22
"Algeria","Total Grains/Cereals","Import Quantity","1000 MT",2007,7546,0.61,230.445040847023,"High",1.22
"Algeria","Total Grains/Cereals","Import Value","Million US$",2007,1958.43,0.61,230.445040847023,"High",1.22
"Algeria","Total Grains/Cereals","Import Unit Value","US$ / MT",2007,259.5322025,0.61,230.445040847023,"High",1.22
"Algeria","Total Grains/Cereals","Export Quantity","1000 MT",2007,0,0.61,230.445040847023,"Low",1.22
"Algeria","Total Grains/Cereals","Stock Variation","1000 MT",2007,250,0.61,230.445040847023,"High",1.22
"Algeria","Total Grains/Cereals","Feed + Seed","1000 MT",2007,3178,0.61,230.445040847023,"High",1.22
"Algeria","Total Grains/Cereals","Waste + Processed + OtherUtilization","1000 MT",2007,633,0.61,230.445040847023,"High",1.22
"Algeria","Total Grains/Cereals","Food Availability","1000 MT",2007,7813.7,0.61,230.445040847023,"High",1.22
"Algeria","Total Grains/Cereals","Food Availability per capita","kg/cap/yr",2007,230.4450408,0.61,230.445040847023,"High",1.22
"Algeria","Food Aid","Cereal Food Aid","Grain Equiv. 1000 MT",2007,18.84097656,0.61,230.445040847023,"High",1.22
"Algeria","Food Aid","Total","Grain Equiv. 1000 MT",2007,25.80735307,0.61,230.445040847023,"High",1.22
"Algeria","Food Aid","Non-Cereal Food Aid","Grain Equiv. 1000 MT",2007,6.966376508,0.61,230.445040847023,"High",1.22
"Algeria","Population","Total Population - Both Sexes","Million",2007,33.907,0.61,230.445040847023,"High",1.22
"Algeria","Root Crops (R&T)","FAO Conversion Rate for Root Crops from MT to Grain Equiv. MT","Conversion Rate",2007,0.252635936,0.61,230.445040847023,"Medium-Low",1.22
"Algeria","Root Crops (R&T)","Area Harvested","1000 Ha",2007,79.339,0.61,230.445040847023,"High",1.22
"Algeria","Root Crops (R&T)","Yield","MT / Ha",2007,4.798229553,0.61,230.445040847023,"High",1.22
"Algeria","Root Crops (R&T)","Production Quantity","Grain Equiv. 1000 MT",2007,380.6867345,0.61,230.445040847023,"High",1.22
"Algeria","Root Crops (R&T)","Import Quantity","Grain Equiv. 1000 MT",2007,53.22104427,0.61,230.445040847023,"High",1.22
"Algeria","Root Crops (R&T)","Export Quantity","Grain Equiv. 1000 MT",2007,0.106107093,0.61,230.445040847023,"Medium-Low",1.22
"Algeria","Root Crops (R&T)","Stock Variation","Grain Equiv. 1000 MT",2007,0,0.61,230.445040847023,"Low",1.22
"Algeria","Root Crops (R&T)","Feed + Seed","Grain Equiv. 1000 MT",2007,24.82650063,0.61,230.445040847023,"High",1.22
"Algeria","Root Crops (R&T)","Waste + Processed + OtherUtilization - Stock Variation","Grain Equiv. 1000 MT",2007,43.08301678,0.61,230.445040847023,"High",1.22
"Algeria","Root Crops (R&T)","Food Availability","Grain Equiv. 1000 MT",2007,365.8921214,0.61,230.445040847023,"High",1.22
"Algeria","Root Crops (R&T)","Food Availability per capita","kg/cap/yr",2007,10.79104968,0.61,230.445040847023,"High",1.22
"Algeria","Total Grains/Cereals and Root Crops (R&T)","Production Quantity","Grain Equiv. 1000 MT",2007,3909.386734,0.61,230.445040847023,"High",1.22
"Algeria","Total Grains/Cereals and Root Crops (R&T)","Food Availability per capita","kg/cap/yr",2007,241.2360905,0.61,230.445040847023,"High",1.22
"Algeria","Total Grains/Cereals and Root Crops (R&T)","Food Supply","Grain Equiv. 1000 MT",2007,11508.60778,0.61,230.445040847023,"High",1.22
"Algeria","Total Grains/Cereals and Root Crops (R&T)","Area Harvested","1000 Ha",2007,2953.166,0.61,230.445040847023,"High",1.22
"Algeria","Other","Food Supply","Grain Equiv. 1000 MT / yr",2007,2882.457254,0.61,230.445040847023,"High",1.22
"Algeria","Other","Food Supply","Grain Equiv. kg/cap/yr",2007,411.0742446,0.61,230.445040847023,"High",1.22
"Algeria","Total Grains/Cereals","Area Harvested","1000 Ha",2008,1485.453,0.62,231.605088881143,"High",1.24
"Algeria","Total Grains/Cereals","Yield","MT / Ha",2008,1.03315285,0.62,231.605088881143,"High",1.24
"Algeria","Total Grains/Cereals","Production Quantity","1000 MT",2008,1534.7,0.62,231.605088881143,"High",1.24
"Algeria","Total Grains/Cereals","Import Quantity","1000 MT",2008,8671,0.62,231.605088881143,"High",1.24
"Algeria","Total Grains/Cereals","Import Value","Million US$",2008,4016.17,0.62,231.605088881143,"High",1.24
"Algeria","Total Grains/Cereals","Import Unit Value","US$ / MT",2008,463.1726444,0.62,231.605088881143,"High",1.24
"Algeria","Total Grains/Cereals","Export Quantity","1000 MT",2008,0,0.62,231.605088881143,"Low",1.24
"Algeria","Total Grains/Cereals","Stock Variation","1000 MT",2008,750,0.62,231.605088881143,"High",1.24
"Algeria","Total Grains/Cereals","Feed + Seed","1000 MT",2008,2649,0.62,231.605088881143,"High",1.24
"Algeria","Total Grains/Cereals","Waste + Processed + OtherUtilization","1000 MT",2008,533,0.62,231.605088881143,"High",1.24
"Algeria","Total Grains/Cereals","Food Availability","1000 MT",2008,7973.7,0.62,231.605088881143,"High",1.24
"Algeria","Total Grains/Cereals","Food Availability per capita","kg/cap/yr",2008,231.6050889,0.62,231.605088881143,"High",1.24
"Algeria","Food Aid","Cereal Food Aid","Grain Equiv. 1000 MT",2008,23.60877199,0.62,231.605088881143,"High",1.24
"Algeria","Food Aid","Total","Grain Equiv. 1000 MT",2008,33.0772439,0.62,231.605088881143,"High",1.24
"Algeria","Food Aid","Non-Cereal Food Aid","Grain Equiv. 1000 MT",2008,9.468471907,0.62,231.605088881143,"High",1.24
"Algeria","Population","Total Population - Both Sexes","Million",2008,34.428,0.62,231.605088881143,"High",1.24
"Algeria","Root Crops (R&T)","FAO Conversion Rate for Root Crops from MT to Grain Equiv. MT","Conversion Rate",2008,0.251224679,0.62,231.605088881143,"Medium-Low",1.24
"Algeria","Root Crops (R&T)","Area Harvested","1000 Ha",2008,91.841,0.62,231.605088881143,"High",1.24
"Algeria","Root Crops (R&T)","Yield","MT / Ha",2008,5.938778421,0.62,231.605088881143,"High",1.24
"Algeria","Root Crops (R&T)","Production Quantity","Grain Equiv. 1000 MT",2008,545.423349,0.62,231.605088881143,"High",1.24
"Algeria","Root Crops (R&T)","Import Quantity","Grain Equiv. 1000 MT",2008,31.71560837,0.62,231.605088881143,"High",1.24
"Algeria","Root Crops (R&T)","Export Quantity","Grain Equiv. 1000 MT",2008,0.00377,0.62,231.605088881143,"Medium-Low",1.24
"Algeria","Root Crops (R&T)","Stock Variation","Grain Equiv. 1000 MT",2008,0,0.62,231.605088881143,"Low",1.24
"Algeria","Root Crops (R&T)","Feed + Seed","Grain Equiv. 1000 MT",2008,28.25761874,0.62,231.605088881143,"High",1.24
"Algeria","Root Crops (R&T)","Waste + Processed + OtherUtilization - Stock Variation","Grain Equiv. 1000 MT",2008,57.41287833,0.62,231.605088881143,"High",1.24
"Algeria","Root Crops (R&T)","Food Availability","Grain Equiv. 1000 MT",2008,491.4645588,0.62,231.605088881143,"High",1.24
"Algeria","Root Crops (R&T)","Food Availability per capita","kg/cap/yr",2008,14.27514113,0.62,231.605088881143,"High",1.24
"Algeria","Total Grains/Cereals and Root Crops (R&T)","Production Quantity","Grain Equiv. 1000 MT",2008,2080.123349,0.62,231.605088881143,"High",1.24
"Algeria","Total Grains/Cereals and Root Crops (R&T)","Food Availability per capita","kg/cap/yr",2008,245.88023,0.62,231.605088881143,"High",1.24
"Algeria","Total Grains/Cereals and Root Crops (R&T)","Food Supply","Grain Equiv. 1000 MT",2008,10782.83896,0.62,231.605088881143,"High",1.24
"Algeria","Total Grains/Cereals and Root Crops (R&T)","Area Harvested","1000 Ha",2008,1577.294,0.62,231.605088881143,"High",1.24
"Algeria","Other","Food Supply","Grain Equiv. 1000 MT / yr",2008,2959.377253,0.62,231.605088881143,"High",1.24
"Algeria","Other","Food Supply","Grain Equiv. kg/cap/yr",2008,416.077747,0.62,231.605088881143,"High",1.24
"Algeria","Total Grains/Cereals","Area Harvested","1000 Ha",2009,3176.3,0.73,232.752503576538,"High",1.46
"Algeria","Total Grains/Cereals","Yield","MT / Ha",2009,1.909989611,0.73,232.752503576538,"High",1.46
"Algeria","Total Grains/Cereals","Production Quantity","1000 MT",2009,6066.7,0.73,232.752503576538,"High",1.46
"Algeria","Total Grains/Cereals","Import Quantity","1000 MT",2009,7325,0.73,232.752503576538,"High",1.46
"Algeria","Total Grains/Cereals","Import Value","Million US$",2009,2315.95,0.73,232.752503576538,"High",1.46
"Algeria","Total Grains/Cereals","Import Unit Value","US$ / MT",2009,316.1706485,0.73,232.752503576538,"High",1.46
"Algeria","Total Grains/Cereals","Export Quantity","1000 MT",2009,0,0.73,232.752503576538,"Low",1.46
"Algeria","Total Grains/Cereals","Stock Variation","1000 MT",2009,-900,0.73,232.752503576538,"Low",1.46
"Algeria","Total Grains/Cereals","Feed + Seed","1000 MT",2009,3724,0.73,232.752503576538,"High",1.46
"Algeria","Total Grains/Cereals","Waste + Processed + OtherUtilization","1000 MT",2009,833,0.73,232.752503576538,"High",1.46
"Algeria","Total Grains/Cereals","Food Availability","1000 MT",2009,8134.7,0.73,232.752503576538,"High",1.46
"Algeria","Total Grains/Cereals","Food Availability per capita","kg/cap/yr",2009,232.7525036,0.73,232.752503576538,"High",1.46
"Algeria","Food Aid","Cereal Food Aid","Grain Equiv. 1000 MT",2009,12.54791491,0.73,232.752503576538,"High",1.46
"Algeria","Food Aid","Total","Grain Equiv. 1000 MT",2009,19.15157988,0.73,232.752503576538,"High",1.46
"Algeria","Food Aid","Non-Cereal Food Aid","Grain Equiv. 1000 MT",2009,6.603664973,0.73,232.752503576538,"High",1.46
"Algeria","Population","Total Population - Both Sexes","Million",2009,34.95,0.73,232.752503576538,"High",1.46
"Algeria","Root Crops (R&T)","FAO Conversion Rate for Root Crops from MT to Grain Equiv. MT","Conversion Rate",2009,0.25243854,0.73,232.752503576538,"Medium-Low",1.46
"Algeria","Root Crops (R&T)","Area Harvested","1000 Ha",2009,105.121,0.73,232.752503576538,"High",1.46
"Algeria","Root Crops (R&T)","Yield","MT / Ha",2009,6.330251625,0.73,232.752503576538,"High",1.46
"Algeria","Root Crops (R&T)","Production Quantity","Grain Equiv. 1000 MT",2009,665.4423811,0.73,232.752503576538,"High",1.46
"Algeria","Root Crops (R&T)","Import Quantity","Grain Equiv. 1000 MT",2009,36.49983609,0.73,232.752503576538,"High",1.46
"Algeria","Root Crops (R&T)","Export Quantity","Grain Equiv. 1000 MT",2009,0.427883326,0.73,232.752503576538,"Medium-Low",1.46
"Algeria","Root Crops (R&T)","Stock Variation","Grain Equiv. 1000 MT",2009,0,0.73,232.752503576538,"Low",1.46
"Algeria","Root Crops (R&T)","Feed + Seed","Grain Equiv. 1000 MT",2009,32.95224661,0.73,232.752503576538,"High",1.46
